entrezgene	mygene_symbol	chembl_drugid	drug_name	interaction_score	approved
9236	CCPG1	CHEMBL1833984	CHEMBL:CHEMBL1833984	0.84012274	FALSE
6204	RPS10	CHEMBL119405	BENZENETHIOL	0.5707355569097228	FALSE
336	APOA2	CHEMBL347610	CHEMBL:CHEMBL347610	0.8899605294185507	FALSE
10330	CNPY2	CHEMBL4297789	MT-3724	0.1296485709523321	FALSE
9183	ZW10	CHEMBL490510	MAREIN	0.201178817	FALSE
7291	TWIST1	CHEMBL1782601	THEONELLASTEROL E	0.760980743	FALSE
6769	STAC	CHEMBL601367	CHEMBL:CHEMBL601367	0.07643038	FALSE
2623	GATA1	CHEMBL172064	E324	0.009349657	FALSE
895	CCND2P1	CHEMBL1201528	VASOPRESSIN TANNATE	0.760980743	TRUE
9824	ARHGAP11A	CHEMBL1415258	CHEMBL:CHEMBL1415258	0.1491695205559502	FALSE
9235	IL32	CHEMBL3544958	CER-002	1.579178082276526	FALSE
1884	EBR3	CHEMBL4802150	NAVOCAFTOR	1.193356164447602	FALSE
4324	MMP15	CHEMBL259615	CHEMBL:CHEMBL259615	0.035358701	FALSE
5465	PPARA	CHEMBL459729	CHEMBL:CHEMBL459729	0.4953553890159858	FALSE
3236	HOXD10	CHEMBL514499	GW843682X	0.007123548	FALSE
11118	BTN3A2	CHEMBL1351571	4-BENZYLOXYANILINE	0.1367387271762877	FALSE
6893	TAPVR1	CHEMBL1371413	2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE	0.039688338	FALSE
4085	MAD2L1	CHEMBL2103791	ADIPIPLON	0.035430277	FALSE
9183	ZW10	CHEMBL1371413	2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE	0.067059606	FALSE
4037	LRP3	CHEMBL482967	CYC-116	0.015036561	FALSE
10344	CCL26	CHEMBL4297789	MT-3724	0.1296485709523321	FALSE
6251	RSU1	CHEMBL1257005	LOBELINE HYDROCHLORIDE	0.1495945049449985	FALSE
6833	ABCC8	CHEMBL1642672	CHEMBL:CHEMBL1642672	1.346350544504987	FALSE
4830	NME1	CHEMBL84010	CHEMBL:CHEMBL84010	0.036847489	FALSE
6251	RSU1	CHEMBL590914	CHEMBL:CHEMBL590914	0.1495945049449985	FALSE
1097	CEACAMP9	CHEMBL3545080	RG-7256	0.5498185469706229	FALSE
10383	TUBB4B	CHEMBL4297789	MT-3724	0.1296485709523321	FALSE
644	BLVRA	CHEMBL504381	ALLISAN	0.058471794	FALSE
6873	TAF2	CHEMBL8483	CHEMBL:CHEMBL8483	0.7955707762984013	FALSE
7782	SLC30A4	CHEMBL1449651	PYRROLIDINE DITHIOCARBAMIC ACID, AMMONIUM SALT	0.01049314	FALSE
1058	CENPA	CHEMBL211670	CHEMBL:CHEMBL211670	0.039214094	FALSE
8506	CNTNAP1	CHEMBL265582	TNF-ALPHA	2.187819634820604	FALSE
2637	GBX2	CHEMBL585045	CHEMBL:CHEMBL585045	0.014683353	FALSE
5253	PHF2	CHEMBL582983	CHEMBL:CHEMBL582983	0.090530468	FALSE
4324	MMP15	CHEMBL1520282	CHEMBL:CHEMBL1520282	0.1591141552596802	FALSE
7508	XPC	CHEMBL2109635	SAR-566658	4.375639269641208	FALSE
5382	PMS2P4	CHEMBL1998001	CHEMBL:CHEMBL1998001	0.025676123	FALSE
2874	GPS2	CHEMBL1287895	CHEMBL:CHEMBL1287895	2.019525817	FALSE
5382	PMS2P4	CHEMBL109317	GITOXIN	0.042793538	FALSE
2623	GATA1	CHEMBL258465	CHEMBL:CHEMBL258465	0.024309107	FALSE
5253	PHF2	CHEMBL1256761	CHEMBL:CHEMBL1256761	0.1207072901969988	FALSE
4141	MARS1	CHEMBL502775	CHEMBL:CHEMBL502775	0.6731752722524935	FALSE
9804	TOMM20	CHEMBL526776	CHEMBL:CHEMBL526776	0.1875273972703375	FALSE
6834	SURF1	CHEMBL1927670	CHEMBL:CHEMBL1927670	1.419126249613364	FALSE
5258	PHKBP1	CHEMBL454173	ZEARALENONE	0.08780547	FALSE
8517	IKBKG	CHEMBL68096	CHEMBL:CHEMBL68096	0.027650169	FALSE
9792	SERTAD2	CHEMBL1389794	CHEMBL:CHEMBL1389794	0.072927321	FALSE
7105	TSPAN6	CHEMBL125044	CHEMBL:CHEMBL125044	0.1100789753368857	FALSE
4573	TRNR	CHEMBL3545042	SELURAMPANEL	0.3125456621172291	FALSE
7782	SLC30A4	CHEMBL578675	CHEMBL:CHEMBL578675	0.00899412	FALSE
5382	PMS2P4	CHEMBL15137	MICHLER'S KETONE	0.014264513	FALSE
8517	IKBKG	CHEMBL1287983	CHEMBL:CHEMBL1287983	0.035550217	FALSE
11118	BTN3A2	CHEMBL1449007	2-(2'-METHOXYPHENYL)-1H-INDOLE	0.1367387271762877	FALSE
7105	TSPAN6	CHEMBL1478462	CHEMBL:CHEMBL1478462	0.4953553890159858	FALSE
5382	PMS2P4	CHEMBL515617	CHEMBL:CHEMBL515617	0.025676123	FALSE
8517	IKBKG	CHEMBL1341830	CHEMBL:CHEMBL1341830	0.024885152	FALSE
1436	CSF1R	CHEMBL255300	CHEMBL:CHEMBL255300	0.9634435089118256	FALSE
9181	ARHGEF2	CHEMBL61133	SULOCHRIN	0.1017590527823536	FALSE
8780	RIOK3	CHEMBL4297287	HT-0712	0.3977853881492006	FALSE
22992	KDM2A	CHEMBL312032	CHEMBL:CHEMBL312032	0.2386712328895204	FALSE
2596	GAP43	CHEMBL172064	E324	0.006811217	FALSE
10477	UBE2E3	CHEMBL268291	DIMETHYLFORMAMIDE	0.7001022831425933	FALSE
5154	PDGFA	CHEMBL454893	AMBUNOL	0.042344896	FALSE
2625	GATA3	CHEMBL101510	CHEMBL:CHEMBL101510	0.08854582	FALSE
3688	ITGB1	CHEMBL3545196	PD-0166285	0.018874073	FALSE
4324	MMP15	CHEMBL86464	CHEMBL:CHEMBL86464	0.026519026	FALSE
11117	EMILIN1	CHEMBL408563	CHEMBL:CHEMBL408563	0.079557078	FALSE
4331	MNAT1	CHEMBL290914	EMODIC ACID	0.061628722	FALSE
22978	NT5C2	CHEMBL590186	CHEMBL:CHEMBL590186	0.017009288	FALSE
5382	PMS2P4	CHEMBL546493	CHEMBL:CHEMBL546493	0.025676123	FALSE
1745	DLX1	CHEMBL482967	CYC-116	0.041639708	FALSE
6893	TAPVR1	CHEMBL579837	CHEMBL:CHEMBL579837	0.019844169	FALSE
6893	TAPVR1	CHEMBL328710	CHEMBL:CHEMBL328710	0.010824092	FALSE
5253	PHF2	CHEMBL215853	MONOCILLIN I	0.3621218705909965	FALSE
5382	PMS2P4	CHEMBL589694	CHEMBL:CHEMBL589694	0.025676123	FALSE
6973	TRGV1	CHEMBL555017	GAMBOGIC ACID	0.1458546423213736	FALSE
