gene_id	mondo_id	mondo_term
2	MONDO:0004975	Alzheimer disease
2	MONDO:0021063	malignant colon neoplasm
2	MONDO:0005401	colonic neoplasm
2	MONDO:0002050	depressive disorder
2	MONDO:0005376	membranous glomerulonephritis
2	MONDO:0010200	Wilson disease
2	MONDO:0005155	cirrhosis of liver
2	MONDO:0002691	liver cancer
2	MONDO:0005377	nephrotic syndrome
2	MONDO:0000940	trypanosomiasis
2	MONDO:0018666	hepatoblastoma
2	MONDO:0018902	hepatocellular adenoma
2	MONDO:0001881	toxic shock syndrome
9	MONDO:0001187	urinary bladder cancer
9	MONDO:0004987	urinary bladder neoplasm
9	MONDO:0004992	cancer
9	MONDO:0024331	colorectal carcinoma
9	MONDO:0005070	neoplasm
9	MONDO:0006589	occupational dermatitis
9	MONDO:0008315	prostate cancer
9	MONDO:0004989	breast carcinoma
9	MONDO:0004986	urinary bladder carcinoma
10	MONDO:0008383	rheumatoid arthritis
10	MONDO:0001187	urinary bladder cancer
10	MONDO:0004987	urinary bladder neoplasm
10	MONDO:0004992	cancer
10	MONDO:0021063	malignant colon neoplasm
10	MONDO:0024331	colorectal carcinoma
10	MONDO:0009106	diastematomyelia
10	MONDO:0003785	leukopenia
10	MONDO:0002691	liver cancer
10	MONDO:0005070	neoplasm
10	MONDO:0006589	occupational dermatitis
10	MONDO:0005180	Parkinson disease
10	MONDO:0018076	tuberculosis
10	MONDO:0018968	iniencephaly
10	MONDO:0018969	craniorachischisis
10	MONDO:0006292	malignant mesothelioma
10	MONDO:0008315	prostate cancer
10	MONDO:0005159	prostate carcinoma
10	MONDO:0004989	breast carcinoma
10	MONDO:0005138	lung carcinoma
10	MONDO:0002032	colon carcinoma
10	MONDO:0005008	colorectal adenocarcinoma
10	MONDO:0004986	urinary bladder carcinoma
10	MONDO:0021100	breast neoplasm
10	MONDO:0005010	coronary artery disorder
12	MONDO:0004975	Alzheimer disease
12	MONDO:0004979	asthma
12	MONDO:0005266	diabetic retinopathy
12	MONDO:0019245	lysosomal lipid storage disorder
12	MONDO:0005283	retinal disorder
12	MONDO:0008315	prostate cancer
15	MONDO:0002050	depressive disorder
15	MONDO:0005148	type 2 diabetes mellitus
15	MONDO:0013600	insomnia
15	MONDO:0024377	circadian rhythm sleep disorder, delayed sleep phase type
16	MONDO:0000728	ptosis
16	MONDO:0011728	benign essential blepharospasm
16	MONDO:0015626	Charcot-Marie-Tooth disease
16	MONDO:0007186	gastroesophageal reflux disease
16	MONDO:0005486	tooth agenesis
16	MONDO:0004843	pathologic nystagmus
16	MONDO:0003608	optic atrophy
16	MONDO:0002125	status epilepticus
16	MONDO:0005560	brain disorder
16	MONDO:0004183	axonal neuropathy
16	MONDO:0013212	Charcot-Marie-Tooth disease axonal type 2N
16	MONDO:0014593	developmental and epileptic encephalopathy, 29
18	MONDO:0004992	cancer
18	MONDO:0007186	gastroesophageal reflux disease
18	MONDO:0005367	heroin dependence
18	MONDO:0007739	Huntington disease
18	MONDO:0005044	hypertensive disorder
18	MONDO:0019046	leukodystrophy
18	MONDO:0018097	West syndrome
18	MONDO:0100062	developmental and epileptic encephalopathy
18	MONDO:0002125	status epilepticus
18	MONDO:0001386	visual epilepsy
18	MONDO:0017768	reflex epilepsy
18	MONDO:0013166	GABA aminotransaminase deficiency
19	MONDO:0004975	Alzheimer disease
19	MONDO:0002277	arteriosclerosis disorder
19	MONDO:0004995	cardiovascular disorder
19	MONDO:0001612	carotid stenosis
19	MONDO:0024331	colorectal carcinoma
19	MONDO:0005015	diabetes mellitus
19	MONDO:0005148	type 2 diabetes mellitus
19	MONDO:0002043	ectropion
19	MONDO:0021104	alcoholic fatty liver disease
19	MONDO:0005376	membranous glomerulonephritis
19	MONDO:0005393	gout
19	MONDO:0005439	familial hypercholesterolemia
19	MONDO:0001336	familial hyperlipidemia
19	MONDO:0013577	Lipedema
19	MONDO:0021187	hyperlipidemia
19	MONDO:0037748	hyperlipoproteinemia
19	MONDO:0002691	liver cancer
19	MONDO:0005068	myocardial infarction
19	MONDO:0011122	obesity disorder
