gene_id	mondo_id	mondo_term
10	MONDO:0018076	tuberculosis
100	MONDO:0018076	tuberculosis
181	MONDO:0018076	tuberculosis
820	MONDO:0018076	tuberculosis
847	MONDO:0018076	tuberculosis
929	MONDO:0018076	tuberculosis
1401	MONDO:0018076	tuberculosis
1555	MONDO:0018076	tuberculosis
1571	MONDO:0018076	tuberculosis
1999	MONDO:0018076	tuberculosis
2096	MONDO:0018076	tuberculosis
3119	MONDO:0018076	tuberculosis
3123	MONDO:0018076	tuberculosis
3125	MONDO:0018076	tuberculosis
3127	MONDO:0018076	tuberculosis
3240	MONDO:0018076	tuberculosis
3242	MONDO:0018076	tuberculosis
3329	MONDO:0018076	tuberculosis
3431	MONDO:0018076	tuberculosis
3439	MONDO:0018076	tuberculosis
3447	MONDO:0018076	tuberculosis
3458	MONDO:0018076	tuberculosis
3459	MONDO:0018076	tuberculosis
3552	MONDO:0018076	tuberculosis
3553	MONDO:0018076	tuberculosis
3558	MONDO:0018076	tuberculosis
3560	MONDO:0018076	tuberculosis
3565	MONDO:0018076	tuberculosis
3569	MONDO:0018076	tuberculosis
3576	MONDO:0018076	tuberculosis
3586	MONDO:0018076	tuberculosis
3593	MONDO:0018076	tuberculosis
3594	MONDO:0018076	tuberculosis
3605	MONDO:0018076	tuberculosis
3606	MONDO:0018076	tuberculosis
3623	MONDO:0018076	tuberculosis
3627	MONDO:0018076	tuberculosis
4045	MONDO:0018076	tuberculosis
4153	MONDO:0018076	tuberculosis
4312	MONDO:0018076	tuberculosis
4318	MONDO:0018076	tuberculosis
4498	MONDO:0018076	tuberculosis
4843	MONDO:0018076	tuberculosis
5027	MONDO:0018076	tuberculosis
5034	MONDO:0018076	tuberculosis
5199	MONDO:0018076	tuberculosis
6002	MONDO:0018076	tuberculosis
6347	MONDO:0018076	tuberculosis
6352	MONDO:0018076	tuberculosis
6556	MONDO:0018076	tuberculosis
6774	MONDO:0018076	tuberculosis
7040	MONDO:0018076	tuberculosis
7096	MONDO:0018076	tuberculosis
7097	MONDO:0018076	tuberculosis
7099	MONDO:0018076	tuberculosis
7124	MONDO:0018076	tuberculosis
7153	MONDO:0018076	tuberculosis
7248	MONDO:0018076	tuberculosis
7249	MONDO:0018076	tuberculosis
7421	MONDO:0018076	tuberculosis
8170	MONDO:0018076	tuberculosis
8838	MONDO:0018076	tuberculosis
9021	MONDO:0018076	tuberculosis
9048	MONDO:0018076	tuberculosis
9564	MONDO:0018076	tuberculosis
9927	MONDO:0018076	tuberculosis
10529	MONDO:0018076	tuberculosis
11151	MONDO:0018076	tuberculosis
23583	MONDO:0018076	tuberculosis
25966	MONDO:0018076	tuberculosis
27074	MONDO:0018076	tuberculosis
27161	MONDO:0018076	tuberculosis
30813	MONDO:0018076	tuberculosis
30835	MONDO:0018076	tuberculosis
50616	MONDO:0018076	tuberculosis
50639	MONDO:0018076	tuberculosis
50807	MONDO:0018076	tuberculosis
50943	MONDO:0018076	tuberculosis
54106	MONDO:0018076	tuberculosis
54509	MONDO:0018076	tuberculosis
54892	MONDO:0018076	tuberculosis
57232	MONDO:0018076	tuberculosis
64127	MONDO:0018076	tuberculosis
79659	MONDO:0018076	tuberculosis
80196	MONDO:0018076	tuberculosis
80712	MONDO:0018076	tuberculosis
114609	MONDO:0018076	tuberculosis
129831	MONDO:0018076	tuberculosis
343641	MONDO:0018076	tuberculosis
345611	MONDO:0018076	tuberculosis
646730	MONDO:0018076	tuberculosis
101927980	MONDO:0018076	tuberculosis
105374693	MONDO:0018076	tuberculosis
717	MONDO:0018076	tuberculosis
959	MONDO:0018076	tuberculosis
1380	MONDO:0018076	tuberculosis
1786	MONDO:0018076	tuberculosis
2213	MONDO:0018076	tuberculosis
3663	MONDO:0018076	tuberculosis
6737	MONDO:0018076	tuberculosis
51284	MONDO:0018076	tuberculosis
59067	MONDO:0018076	tuberculosis
1437	MONDO:0018076	tuberculosis
3918	MONDO:0018076	tuberculosis
27241	MONDO:0018076	tuberculosis
3105	MONDO:0018076	tuberculosis
